timestamp,vehicle_id,engine_temp,rpm,brake_pressure,bearing_temp,fuel_level,odometer,failure_label
2025-11-01 08:00:00,VH-000,92.48,2445.0,46.3,42.57,57.7,39998.0,0
2025-11-01 09:00:00,VH-000,97.9,2807.0,44.06,39.63,55.4,39995.0,0
2025-11-01 10:00:00,VH-000,91.21,1735.0,41.55,36.31,49.9,40003.0,0
2025-11-01 11:00:00,VH-000,85.46,1935.0,47.93,37.32,60.7,39986.0,0
2025-11-01 12:00:00,VH-000,87.28,2544.0,42.7,39.13,54.0,39997.0,0
2025-11-01 13:00:00,VH-000,86.99,3241.0,44.97,34.83,68.2,39988.0,0
2025-11-01 14:00:00,VH-000,91.04,1716.0,42.34,38.59,67.4,40002.0,0
2025-11-01 15:00:00,VH-000,89.42,2380.0,42.04,35.84,55.4,40011.0,0
2025-11-01 16:00:00,VH-000,91.72,1795.0,45.65,36.84,53.2,40006.0,0
2025-11-01 17:00:00,VH-000,95.15,2873.0,43.32,37.07,63.3,40010.0,0
2025-11-01 18:00:00,VH-000,87.6,2426.0,42.79,34.41,68.1,40014.0,0
2025-11-01 19:00:00,VH-000,89.64,2901.0,45.72,36.06,63.6,40015.0,0
2025-11-02 08:00:00,VH-000,89.82,3126.0,39.76,40.47,60.9,40047.0,0
2025-11-02 09:00:00,VH-000,90.46,1705.0,44.56,39.07,74.8,40045.0,0
2025-11-02 10:00:00,VH-000,85.96,2299.0,46.83,38.99,54.7,40055.0,0
2025-11-02 11:00:00,VH-000,90.49,2887.0,43.6,37.02,56.1,40035.0,0
2025-11-02 12:00:00,VH-000,91.48,2604.0,45.01,37.3,45.8,40046.0,0
2025-11-02 13:00:00,VH-000,88.29,2179.0,44.68,39.21,78.9,40052.0,0
2025-11-02 14:00:00,VH-000,91.29,2470.0,41.16,37.92,60.6,40075.0,0
2025-11-02 15:00:00,VH-000,89.04,2621.0,44.93,34.49,71.4,40058.0,0
2025-11-02 16:00:00,VH-000,93.96,2136.0,47.81,33.79,65.9,40072.0,0
2025-11-02 17:00:00,VH-000,85.05,2273.0,45.2,36.49,44.5,40051.0,0
2025-11-02 18:00:00,VH-000,84.69,2689.0,43.16,42.65,52.2,40047.0,0
2025-11-02 19:00:00,VH-000,94.07,2008.0,45.45,41.92,43.9,40052.0,0
2025-11-03 08:00:00,VH-000,91.3,2813.0,42.53,34.04,65.2,40103.0,0
2025-11-03 09:00:00,VH-000,91.25,2639.0,43.64,38.7,62.9,40093.0,0
2025-11-03 10:00:00,VH-000,99.33,2690.0,42.62,39.97,50.3,40108.0,0
2025-11-03 11:00:00,VH-000,95.79,2172.0,46.93,39.24,68.2,40119.0,0
2025-11-03 12:00:00,VH-000,88.77,2199.0,43.22,35.55,59.2,40103.0,0
2025-11-03 13:00:00,VH-000,91.38,2831.0,45.03,42.36,57.4,40127.0,0
2025-11-03 14:00:00,VH-000,93.13,2157.0,42.86,39.45,57.8,40107.0,0
2025-11-03 15:00:00,VH-000,92.37,2471.0,43.31,33.46,55.5,40109.0,0
2025-11-03 16:00:00,VH-000,91.07,2002.0,45.35,39.16,51.2,40102.0,0
2025-11-03 17:00:00,VH-000,90.29,2043.0,45.72,39.68,70.8,40111.0,0
2025-11-03 18:00:00,VH-000,83.11,2125.0,46.03,39.54,65.2,40139.0,0
2025-11-03 19:00:00,VH-000,92.85,2954.0,46.91,39.95,56.8,40108.0,0
2025-11-04 08:00:00,VH-000,86.14,2405.0,44.03,38.25,83.1,40131.0,0
2025-11-04 09:00:00,VH-000,93.43,1855.0,44.06,41.27,60.6,40139.0,0
2025-11-04 10:00:00,VH-000,86.42,2772.0,43.54,38.65,60.5,40143.0,0
2025-11-04 11:00:00,VH-000,100.72,2754.0,40.95,38.56,53.4,40159.0,0
2025-11-04 12:00:00,VH-000,86.04,2454.0,46.01,40.6,48.0,40147.0,0
2025-11-04 13:00:00,VH-000,87.63,2239.0,48.53,39.21,47.4,40159.0,0
2025-11-04 14:00:00,VH-000,100.61,2913.0,41.96,36.55,72.7,40143.0,0
2025-11-04 15:00:00,VH-000,92.22,2810.0,43.15,37.82,27.6,40140.0,0
2025-11-04 16:00:00,VH-000,88.74,2001.0,48.26,33.71,55.6,40151.0,0
2025-11-04 17:00:00,VH-000,97.21,1926.0,47.33,38.03,50.2,40155.0,0
2025-11-04 18:00:00,VH-000,91.0,2260.0,45.14,36.84,61.1,40157.0,0
2025-11-04 19:00:00,VH-000,97.93,2005.0,49.27,32.14,58.5,40156.0,0
2025-11-05 08:00:00,VH-000,91.4,2251.0,44.58,36.52,54.1,40208.0,0
2025-11-05 09:00:00,VH-000,91.79,2223.0,46.8,38.92,68.1,40206.0,0
2025-11-05 10:00:00,VH-000,85.86,2276.0,46.49,39.83,59.8,40201.0,0
2025-11-05 11:00:00,VH-000,96.39,2263.0,46.09,37.39,57.8,40211.0,0
2025-11-05 12:00:00,VH-000,94.13,2825.0,47.61,38.06,66.8,40197.0,0
2025-11-05 13:00:00,VH-000,91.62,2448.0,45.19,39.79,51.8,40221.0,0
2025-11-05 14:00:00,VH-000,84.97,2014.0,47.32,40.37,66.2,40206.0,0
2025-11-05 15:00:00,VH-000,89.94,2141.0,45.15,35.97,69.8,40199.0,0
2025-11-05 16:00:00,VH-000,85.87,2371.0,45.83,36.31,51.8,40202.0,0
2025-11-05 17:00:00,VH-000,91.22,2297.0,44.06,38.7,45.5,40186.0,0
2025-11-05 18:00:00,VH-000,86.41,2415.0,45.62,42.43,68.6,40198.0,0
2025-11-05 19:00:00,VH-000,89.9,2099.0,44.96,37.13,63.2,40192.0,0
2025-11-06 08:00:00,VH-000,92.6,3113.0,44.78,39.21,66.9,40246.0,0
2025-11-06 09:00:00,VH-000,91.12,2505.0,45.2,35.68,60.2,40255.0,0
2025-11-06 10:00:00,VH-000,97.26,2884.0,49.31,35.7,68.7,40252.0,0
2025-11-06 11:00:00,VH-000,100.95,2177.0,43.32,36.2,38.8,40245.0,0
2025-11-06 12:00:00,VH-000,86.2,2560.0,45.68,43.63,69.5,40244.0,0
2025-11-06 13:00:00,VH-000,85.51,2697.0,42.36,43.49,71.8,40245.0,0
2025-11-06 14:00:00,VH-000,81.43,3042.0,44.77,41.71,44.1,40244.0,0
2025-11-06 15:00:00,VH-000,90.03,2519.0,44.1,39.87,49.3,40249.0,0
2025-11-06 16:00:00,VH-000,90.6,2706.0,46.42,34.63,44.7,40263.0,0
2025-11-06 17:00:00,VH-000,91.66,2201.0,48.1,38.35,71.8,40251.0,0
2025-11-06 18:00:00,VH-000,100.3,3202.0,44.5,40.91,66.5,40264.0,0
2025-11-06 19:00:00,VH-000,85.18,2774.0,47.12,32.72,48.2,40230.0,0
2025-11-07 08:00:00,VH-000,88.65,2787.0,48.0,38.22,76.3,40286.0,0
2025-11-07 09:00:00,VH-000,81.48,2478.0,45.77,37.9,39.3,40299.0,0
2025-11-07 10:00:00,VH-000,83.48,2768.0,45.73,35.18,54.9,40289.0,0
2025-11-07 11:00:00,VH-000,89.69,2882.0,43.03,39.51,54.7,40292.0,0
2025-11-07 12:00:00,VH-000,89.46,2086.0,43.89,34.41,79.6,40300.0,0
2025-11-07 13:00:00,VH-000,86.5,2586.0,44.78,37.34,66.1,40308.0,0
2025-11-07 14:00:00,VH-000,87.35,2270.0,44.45,31.09,44.8,40314.0,0
2025-11-07 15:00:00,VH-000,98.22,2400.0,46.15,38.93,90.8,40311.0,0
